Rule,Fitness,Avg_fitness,n_samples
( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( subtract (( upstream-homophily  ) ) (( consider-utilitarian  ) )  ) ) (( combine (( multiply (( consider-pseudorandom  ) ) (( combine (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( upstream-homophily  ) )  ) )  ) ) (( consider-random  ) )  ) )  ) ,[0.561810559715319],0.561810559715319,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,[0.5565345988256466],0.5565345988256466,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,"[0.554183544650979, 0.5573046890585425]",0.5557441168547608,2
( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) ,[0.5535431172451921],0.5535431172451921,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-pseudorandom  ) ) (( subtract (( subtract (( downstream-homophily  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) )  ) ,[0.5434240345669193],0.5434240345669193,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( multiply (( downstream-homophily  ) ) (( consider-heuristic  ) )  ) ) (( consider-utilitarian  ) )  ) )  ) ,[0.5413142345180568],0.5413142345180568,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( multiply (( upstream-homophily  ) ) (( consider-relative-income  ) )  ) ) (( consider-random  ) )  ) )  ) ,[0.5390364788785129],0.5390364788785129,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-pseudorandom  ) ) (( consider-random  ) )  ) )  ) ,[0.5351735256402355],0.5351735256402355,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) ,[0.5341063846660415],0.5341063846660415,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( upstream-homophily  ) ) (( combine (( consider-random  ) ) (( consider-relative-income  ) )  ) )  ) ) (( subtract (( subtract (( upstream-homophily  ) ) (( combine (( consider-random  ) ) (( consider-relative-income  ) )  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) )  ) ,[0.5335606880547346],0.5335606880547346,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-random  ) )  ) )  ) )  ) ,[0.5316382241682968],0.5316382241682968,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-pseudorandom  ) ) (( consider-random  ) )  ) )  ) ,"[0.5302301860572237, 0.5320447619821566]",0.5311374740196901,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-pseudorandom  ) )  ) )  ) ,"[0.5307669053640403, 0.5311674659118554, 0.5303565559980733]",0.5307636424246563,3
( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-pseudorandom  ) )  ) )  ) ,"[0.5296941533670421, 0.529658880155204]",0.529676516761123,2
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,[0.5292554175380271],0.5292554175380271,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-heuristic  ) ) (( combine (( upstream-homophily  ) ) (( consider-pseudorandom  ) )  ) )  ) )  ) ,[0.5280408349002006],0.5280408349002006,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-random  ) )  ) )  ) ,"[0.5369515254642561, 0.5137770135828024]",0.5253642695235292,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( downstream-homophily  ) ) (( subtract (( upstream-homophily  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,[0.5251128661615777],0.5251128661615777,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,[0.5214197182761773],0.5214197182761773,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( downstream-homophily  ) ) (( multiply (( multiply (( consider-heuristic  ) ) (( consider-altruism  ) )  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,[0.5104297868486409],0.5104297868486409,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( multiply (( consider-altruism  ) ) (( consider-random  ) )  ) ) (( combine (( consider-utilitarian  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,[0.5100260628996065],0.5100260628996065,1
( get-max-one-of (( possible-decisions  ) ) (( subtract (( downstream-homophily  ) ) (( subtract (( consider-pseudorandom  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,[0.505730201575146],0.505730201575146,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) ,[0.5024748984683937],0.5024748984683937,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,"[0.5021940025151159, 0.5027077710460001]",0.5024508867805579,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,"[0.501767935771629, 0.5025357515894022]",0.5021518436805157,2
( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,[0.5019815600488491],0.5019815600488491,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( downstream-homophily  ) )  ) )  ) ,[0.5006064210650523],0.5006064210650523,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,[0.5002006653271277],0.5002006653271277,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( downstream-homophily  ) ) (( consider-random  ) )  ) )  ) ,"[0.4992879224208518, 0.500396240390699]",0.49984208140577535,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( upstream-homophily  ) ) (( consider-random  ) )  ) )  ) ,"[0.4998764883822902, 0.4992614541936412, 0.4988290364518339]",0.4993223263425885,3
( get-max-one-of (( possible-decisions  ) ) (( combine (( combine (( downstream-homophily  ) ) (( consider-utilitarian  ) )  ) ) (( subtract (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,[0.4990207103669572],0.4990207103669572,1
( get-min-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,"[0.4904253424973832, 0.4917940301101645, 0.4840537917183433, 0.4836648169487675, 0.4841382481328848, 0.4833030031225679, 0.483732077860432, 0.4837915847310837, 0.4827847410522354, 0.4841713872043301, 0.4832354009808159, 0.4997771062178941, 0.4997307039528346, 0.4996378043467222, 0.5000577082099192, 0.5026820842785928, 0.5021792122765436, 0.502263449541119, 0.5025876111686817, 0.5024041677874698, 0.5026054380289314, 0.5019343753050043, 0.5017505200906188, 0.5017955789014699, 0.5023159967389267, 0.5024454327653677, 0.5020794196283763, 0.5029880347479508, 0.502750097639691, 0.5022740834452993, 0.5020498132783877, 0.5024072771080869, 0.5024194234259572, 0.5022752774206559, 0.5021532660012225, 0.5025927343932318, 0.5018959092160535, 0.5015442498541424, 0.5017664983802717, 0.5018346597821716, 0.5020981599850985, 0.5019200701472215, 0.5019511193275251, 0.5017900798363537, 0.5023021265714387, 0.5027266116455795, 0.5020854778595362, 0.502488142918421, 0.5022667234294532, 0.5023770419673769, 0.5027933098830067, 0.5031462778146323, 0.5022598375725007, 0.5020483069440502, 0.4958130145911189, 0.4875033583142034, 0.4867947704976997, 0.4866539029002082, 0.5014632112026425, 0.5028137943539217, 0.5026817199568898, 0.5032635880963344, 0.5018034705265589, 0.5027453715542617, 0.5028724615900286, 0.502379870633373, 0.5030159684788101, 0.5005508259278475, 0.5000015735533502, 0.5027612211148343, 0.5030894506627378, 0.5026800385485163, 0.5027947644481922, 0.4929212390482004, 0.4918701613845186, 0.4914523254774409, 0.4918024767278629, 0.4920217938722287, 0.4919064442122825, 0.5034689152624819, 0.5023330344480366, 0.5029962106248104, 0.5027159732284562, 0.5035175652948006, 0.5017785770411007, 0.5022798555287011, 0.5026709257299256, 0.5037895725656137, 0.5022403330538192, 0.5009273054595661, 0.501706134486097, 0.5030353200392971, 0.4961981401987709, 0.4961718079622256, 0.4958352037389788, 0.4960999771111683, 0.4965865890653242, 0.4963352204895859, 0.4949455402922509, 0.4954571402947575, 0.4971974561138651, 0.4967530165946563, 0.4976042192794357, 0.4968755306415439, 0.4977256376158504, 0.4969977623501475]",0.49858910779602017,106
( get-max-one-of (( possible-decisions  ) ) (( combine (( combine (( upstream-homophily  ) ) (( consider-random  ) )  ) ) (( upstream-homophily  ) )  ) )  ) ,[0.4980205091369764],0.4980205091369764,1
( get-max-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,"[0.4871971124005082, 0.4904047046962263, 0.4906324934800031, 0.4910933788007461, 0.4919641763232007, 0.4911977333024832, 0.4903575730785152, 0.4911177743246341, 0.4914024986504835, 0.4909904229017, 0.4919630573740595, 0.4839299848791838, 0.4841176404305186, 0.4835423165546881, 0.4836087408036575, 0.4831185664757722, 0.483017423298607, 0.4838702835750366, 0.4830261815931826, 0.4838119258579375, 0.4833577493238695, 0.4831514666337283, 0.4999318867397254, 0.4997989713584356, 0.5005719709871794, 0.5006444669115278, 0.5023500145286586, 0.5023329495274105, 0.5017901914071856, 0.5023210641382326, 0.5015309403806344, 0.5022068441246933, 0.5022666372522118, 0.5022516489345993, 0.501262571152209, 0.5021701116975843, 0.5021846041599631, 0.5026749361487991, 0.5024725028836863, 0.5016077760706271, 0.5023739927162518, 0.50323410224826, 0.5019327166249904, 0.5013499913894457, 0.5024703169947661, 0.5023023165522741, 0.5030948733701438, 0.5025347627774608, 0.5028801154403086, 0.5020385957756027, 0.5023482349507139, 0.501593838031893, 0.5017165003246153, 0.5025459152037101, 0.5022403864706163, 0.5023509398388151, 0.5020978529062287, 0.501978605153919, 0.5021188626566662, 0.502556393186314, 0.495210447456233, 0.4958985279591491, 0.4952002596308663, 0.4864315298488161, 0.4860391568850149, 0.48640194105201096, 0.4861439624367347, 0.4861557681294082, 0.4870013425387897, 0.4864987305422507, 0.48693034623784, 0.503123064895065, 0.5024217452927341, 0.501580153827797, 0.5024540503862981, 0.5001696366018435, 0.5006646503531023, 0.5000693700775454, 0.5005566006630501, 0.4996822014918521, 0.4996050787756312, 0.5001913401816249, 0.5033678670587665, 0.5028644796206261, 0.5033564904335014, 0.5024854879085467, 0.5027050517724878, 0.5029626470231879, 0.5034101520842914, 0.5025344974810096, 0.5021836720258421, 0.5025193681851874, 0.4918779847175385, 0.4926015535670442, 0.4921896160566097, 0.4913837028122744, 0.4914099780376578, 0.4918815820134495, 0.4911677195852083, 0.502063303913516, 0.5027215187501111, 0.5029306156865672, 0.5019551655312379, 0.5016477234214194, 0.5023275245546098, 0.5024228636573883, 0.502610535413935, 0.5018109800454819, 0.5020529695422267, 0.5021685128116641, 0.5027865086263209, 0.4966246208934191, 0.4971051778483905, 0.4957389681805688, 0.4953589730850366, 0.4948672144418823, 0.4962607816559505, 0.4958310901344227, 0.4973441181074717, 0.4965475710307067, 0.4976620305250194, 0.4969439150870377]",0.49705013970792106,122
( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-heuristic  ) ) (( multiply (( consider-heuristic  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,[0.4955385143097564],0.4955385143097564,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( combine (( consider-random  ) ) (( consider-random  ) )  ) ) (( downstream-homophily  ) )  ) )  ) ,[0.490992802491605],0.490992802491605,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( upstream-homophily  ) )  ) )  ) ,[0.4904703911831238],0.4904703911831238,1
( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-pseudorandom  ) ) (( consider-random  ) )  ) )  ) )  ) ,[0.4901696219699477],0.4901696219699477,1
( get-min-one-of (( possible-decisions  ) ) (( multiply (( subtract (( consider-utilitarian  ) ) (( downstream-homophily  ) )  ) ) (( consider-random  ) )  ) )  ) ,[0.4882357988745752],0.4882357988745752,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( subtract (( downstream-homophily  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) ,[0.4861715791801591],0.4861715791801591,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( downstream-homophily  ) )  ) )  ) ,[0.4834685968955431],0.4834685968955431,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( downstream-homophily  ) ) (( consider-altruism  ) )  ) )  ) ,[0.4807638787278522],0.4807638787278522,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-altruism  ) ) (( downstream-homophily  ) )  ) )  ) ,"[0.4807003892694622, 0.4808153651838166]",0.48075787722663943,2
( get-min-one-of (( possible-decisions  ) ) (( subtract (( downstream-homophily  ) ) (( consider-heuristic  ) )  ) )  ) ,[0.4792786100527488],0.4792786100527488,1
( get-min-one-of (( possible-decisions  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-random  ) )  ) )  ) ,[0.4785593249219594],0.4785593249219594,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( downstream-homophily  ) ) (( consider-utilitarian  ) )  ) )  ) ,"[0.4808325805446349, 0.4726417889907241]",0.4767371847676795,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,[0.4689653595488461],0.4689653595488461,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( multiply (( downstream-homophily  ) ) (( consider-altruism  ) )  ) )  ) )  ) ,[0.4666197427409484],0.4666197427409484,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( multiply (( consider-heuristic  ) ) (( consider-utilitarian  ) )  ) ) (( combine (( consider-altruism  ) ) (( consider-relative-income  ) )  ) )  ) )  ) ,[0.4663602907390048],0.4663602907390048,1
( get-min-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,[0.4659708623523361],0.4659708623523361,1
